Date,Age,Gender,Comorbidities?,Vaccination,Designation,How many hours of work per week in the current situation?,Years of service?,Patients per ICU nurse,Adequate PPE provided?,Was mental health support available?,Received Covid 19 specific training?,Tested for Covid 19?,"If tested , were you positive for Covid 19?",Living with family while working with covid 19 patients?,Personal Burnout [How often are you physically exhausted?],Score,Personal Burnout [How often are you emotionally exhausted?],Score,Personal Burnout [How often do you think: â€œI canâ€™t take it anymore?],Score,Personal Burnout [How often do you feel weak and susceptible to illness?],Score,Personal Burnout [How often do you feel worn out (extremely tired)?],Score,Domain 1,Work-related Burnout [Are you exhausted in the morning at the thought of another day at work?],Score,Work-related Burnout [Do you feel that every working hour is tiring for you?],Score,Work-related Burnout [Do you have enough energy for family and friends during leisure time?],Score,Work-related Burnout [Do you feel that your work is emotionally exhausting?],Score,Work-related Burnout [Does your work frustrate you?],Score,Work-related Burnout [Do you feel burnt out (complete physical or mental exhaustion) because of your work?],Score,Domain 2,Client Related burnout [Do you feel it is hard to work in the current scenario?],Score,Client Related burnout [Does it drain more of your energy to work during the current scenario?],Score,Client Related burnout [Do you find it fruitful while performing your work during the current scenario?],Score,Client Related burnout [Do you feel that you are giving more than what you get back while working in the current scenario?],Score,Client Related burnout [Do you hesitate to work during this current scenario?],Score,Client Related burnout [Do you feel depressed because of the current scenario?],Score,Client Related burnout [Do you feel that your patience is tested while working in the current scenario?],Score,Client Related burnout [Do you feel lock down due to the current scenario has added stress on you?],Score,Client Related burnout [Do you have fear to catch COVID-19 infection while working in the current scenario?],Score,Client Related burnout [Do you have a fear of family members catching infection because of your work exposure?],Score,Client Related burnout [Do you feel welcomed by the community because you are a health care worker and working in the current scenario?],Score,Client Related burnout [Are you thinking of any substance abuse (alcohol/drugs/smoking) during this period of lockdown?],Score,Client Related burnout [Do you have a fear of death while working in the current scenario?],Score,Client Related burnout [Do you feel you are being properly protected by the hospital while working in the current scenario?],Score,Client Related burnout [Do you feel you are being supported by colleagues during the current scenario?],Score,Domain 3,Overall Average
6/14/2021,50,Female,Hypertension,both doses,Nurse,48,16,0,Yes,Yes,No,Yes,N/A,No,Rarely,25,Never,0,Rarely,25,Never,0,Rarely,25,15,Disagree,25,Disagree,25,Disagree,75,Disagree,25,Strongly disagree,0,Strongly disagree,0,25,Strongly Agree,100,Agree,75,Agree,25,Strongly Agree,100,Agree,75,Undecided,50,Agree,75,Disagree,25,Undecided,50,Strongly Agree,100,Disagree,75,Strongly disagree,0,Agree,75,Strongly Agree,0,Strongly Agree,0,55,40
6/14/2021,40,Female,Bronchial Asthma;Depression or other psychological disease,1st dose only,Doctor,60,10,0,Yes,No,No,Yes,No,Yes,Often,75,Always,100,Often,75,Often,75,Sometimes,50,75,Undecided,50,Agree,75,Disagree,75,Strongly agree,100,Agree,75,Agree,75,75,Agree,75,Strongly Agree,100,Disagree,75,Undecided,50,Undecided,50,Strongly Agree,100,Strongly Agree,100,Agree,75,Agree,75,Strongly Agree,100,Undecided,50,Disagree,25,Disagree,25,Strongly disagree,100,Undecided,50,70,72
6/14/2021,40,Female,None,Not taken,Nurse,60,10,1,Yes,Yes,Yes,Yes,No,No,Sometimes,50,Sometimes,50,Sometimes,50,Sometimes,50,Sometimes,50,50,Agree,75,Agree,75,Disagree,75,Agree,75,Undecided,50,Undecided,50,67,Agree,75,Agree,75,Agree,25,Agree,75,Strongly Agree,100,Agree,75,Agree,75,Agree,75,Strongly Agree,100,Strongly Agree,100,Strongly Agree,0,Strongly disagree,0,Undecided,50,Agree,25,Strongly Agree,0,57,58
6/14/2021,40,Female,None,both doses,Doctor,73,10,3,Yes,No,No,No,N/A,Yes,Always,100,Always,100,Always,100,Always,100,Always,100,100,Strongly agree,100,Strongly agree,100,Strongly disagree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,100,Strongly Agree,100,Strongly Agree,100,Agree,25,Strongly Agree,100,Strongly Agree,100,Strongly Agree,100,Strongly Agree,100,Strongly Agree,100,Strongly Agree,100,Strongly Agree,100,Strongly disagree,100,Strongly disagree,0,Strongly disagree,0,Strongly disagree,100,Strongly disagree,100,82,89
6/14/2021,40,Male,Bronchial Asthma,both doses,Doctor,48,10,0,Yes,Yes,No,No,N/A,Yes,Sometimes,50,Rarely,25,Rarely,25,Often,75,Sometimes,50,45,Agree,75,Disagree,25,Undecided,50,Agree,75,Agree,75,Undecided,50,58,Agree,75,Agree,75,Agree,25,Strongly Agree,100,Undecided,50,Disagree,25,Agree,75,Disagree,25,Agree,75,Strongly Agree,100,Strongly disagree,100,Strongly disagree,0,Strongly disagree,0,Strongly disagree,100,Undecided,50,58,56
6/14/2021,30,Female,Bronchial Asthma,both doses,Nurse,73,5,2,Yes,No,Yes,Yes,No,No,Often,75,Always,100,Sometimes,50,Sometimes,50,Rarely,25,60,Undecided,50,Agree,75,Agree,25,Agree,75,Undecided,50,Undecided,50,54,Undecided,50,Disagree,25,Agree,25,Strongly Agree,100,Disagree,25,Agree,75,Agree,75,Undecided,50,Disagree,25,Undecided,50,Agree,25,Undecided,50,Disagree,25,Agree,25,Strongly Agree,0,42,48
6/14/2021,40,Female,None,both doses,Doctor,48,10,0,Yes,No,No,No,N/A,Yes,Sometimes,50,Often,75,Never,0,Sometimes,50,Rarely,25,40,Undecided,50,Disagree,25,Strongly agree,0,Agree,75,Agree,75,Undecided,50,46,Disagree,25,Agree,75,Strongly Agree,0,Agree,75,Disagree,25,Disagree,25,Agree,75,Disagree,25,Strongly Agree,100,Strongly Agree,100,Strongly disagree,100,Strongly disagree,0,Agree,75,Strongly disagree,100,Agree,25,55,50
6/14/2021,40,Female,None,both doses,Doctor,73,10,0,Yes,No,Yes,No,No,Yes,Always,100,Often,75,Often,75,Often,75,Often,75,80,Agree,75,Agree,75,Strongly disagree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,92,Strongly Agree,100,Strongly Agree,100,Agree,25,Agree,75,Disagree,25,Agree,75,Strongly Agree,100,Disagree,25,Agree,75,Agree,75,Agree,25,Disagree,25,Disagree,25,Strongly disagree,100,Agree,25,58,70
6/14/2021,40,Female,Bronchial Asthma;Others,Not taken,Nurse,73,15,3,Yes,Yes,No,Yes,No,No,Sometimes,50,Sometimes,50,Sometimes,50,Always,100,Sometimes,50,60,Agree,75,Agree,75,Agree,25,Agree,75,Undecided,50,Strongly agree,100,67,Strongly Agree,100,Strongly Agree,100,Strongly Agree,0,Strongly Agree,100,Agree,75,Agree,75,Strongly disagree,0,Agree,75,Strongly Agree,100,Strongly Agree,100,Strongly disagree,100,Strongly disagree,0,Strongly Agree,100,Undecided,50,Agree,25,67,65
6/14/2021,60,Male,None,both doses,Doctor,48,16,0,Yes,No,No,No,No,Yes,Sometimes,50,Sometimes,50,Sometimes,50,Sometimes,50,Sometimes,50,50,Agree,75,Undecided,50,Undecided,50,Undecided,50,Undecided,50,Undecided,50,54,Strongly disagree,0,Strongly disagree,0,Strongly disagree,100,Strongly disagree,0,Strongly disagree,0,Strongly disagree,0,Strongly disagree,0,Disagree,25,Disagree,25,Disagree,25,Strongly Agree,0,Strongly disagree,0,Strongly disagree,0,Agree,25,Agree,25,15,31
6/14/2021,30,Male,None,both doses,Doctor,60,10,0,No,No,No,Yes,No,Yes,Often,75,Sometimes,50,Sometimes,50,Sometimes,50,Often,75,60,Disagree,25,Disagree,25,Disagree,75,Undecided,50,Agree,75,Agree,75,54,Disagree,25,Agree,75,Disagree,75,Agree,75,Disagree,25,Agree,75,Disagree,25,Agree,75,Agree,75,Agree,75,Strongly disagree,100,Strongly disagree,0,Disagree,25,Disagree,75,Disagree,75,58,58
6/14/2021,40,Male,None,both doses,Doctor,60,5,1,Yes,No,No,Yes,No,Yes,Always,100,Always,100,Always,100,Often,75,Always,100,95,Strongly agree,100,Strongly agree,100,Disagree,75,Strongly agree,100,Strongly agree,100,Strongly agree,100,96,Strongly Agree,100,Strongly Agree,100,Undecided,50,Strongly Agree,100,Strongly disagree,0,Strongly Agree,100,Strongly Agree,100,Strongly disagree,0,Strongly disagree,0,Strongly Agree,100,Strongly Agree,0,Strongly Agree,0,Strongly Agree,100,Strongly disagree,100,Undecided,50,60,75
6/14/2021,40,Male,Others,both doses,Nurse,72,15,1,Yes,No,No,No,N/A,Yes,Often,75,Sometimes,50,Sometimes,50,Sometimes,50,Sometimes,50,55,Agree,75,Disagree,25,Undecided,50,Strongly agree,100,Disagree,25,Undecided,50,54,Agree,75,Undecided,50,Agree,25,Agree,75,Disagree,25,Disagree,25,Agree,75,Undecided,50,Agree,75,Agree,75,Agree,25,Disagree,25,Strongly Agree,100,Agree,25,Agree,25,50,52
6/14/2021,40,Male,Bronchial Asthma,both doses,Doctor,48,10,1,Yes,No,No,No,No,Yes,Sometimes,50,Sometimes,50,Sometimes,50,Sometimes,50,Sometimes,50,50,Strongly agree,100,Agree,75,Agree,25,Agree,75,Undecided,50,Agree,75,67,Agree,75,Agree,75,Agree,25,Agree,75,Undecided,50,Undecided,50,Agree,75,Undecided,50,Undecided,50,Agree,75,Agree,25,Disagree,25,Disagree,25,Disagree,75,Agree,25,52,55
6/15/2021,40,Male,None,both doses,Doctor,73,10,0,Yes,No,Yes,No,No,Yes,Rarely,25,Never,0,Never,0,Never,0,Never,0,5,Undecided,50,Disagree,25,Disagree,75,Disagree,25,Strongly disagree,0,Strongly disagree,0,29,Disagree,25,Agree,75,Agree,25,Agree,75,Disagree,25,Strongly disagree,0,Strongly disagree,0,Strongly disagree,0,Strongly disagree,0,Strongly disagree,0,Strongly disagree,100,Strongly disagree,0,Strongly disagree,0,Agree,25,Agree,25,25,22
6/15/2021,40,Female,None,1st dose only,Nurse,73,15,1,Yes,No,No,Yes,No,No,Sometimes,50,Sometimes,50,Sometimes,50,Sometimes,50,Rarely,25,45,Strongly agree,100,Agree,75,Strongly disagree,100,Agree,75,Strongly disagree,0,Agree,75,71,Disagree,25,Agree,75,Agree,25,Strongly Agree,100,Strongly disagree,0,Strongly disagree,0,Agree,75,Strongly disagree,0,Strongly Agree,100,Strongly Agree,100,Strongly disagree,100,Strongly Agree,100,Strongly Agree,100,Agree,25,Agree,25,57,58
6/15/2021,50,Female,None,1st dose only,Nurse,73,16,2,Yes,Yes,No,Yes,No,No,Often,75,Sometimes,50,Rarely,25,Sometimes,50,Sometimes,50,50,Agree,75,Undecided,50,Disagree,75,Strongly agree,100,Agree,75,Agree,75,75,Agree,75,Strongly Agree,100,Agree,25,Agree,75,Undecided,50,Undecided,50,Undecided,50,Agree,75,Agree,75,Undecided,50,Strongly disagree,100,Strongly disagree,0,Disagree,25,Agree,25,Strongly Agree,0,52,57
6/15/2021,40,Female,Bronchial Asthma,both doses,Doctor,48,10,0,Yes,No,No,No,N/A,Yes,Sometimes,50,Often,75,Sometimes,50,Sometimes,50,Sometimes,50,55,Strongly agree,100,Undecided,50,Agree,25,Agree,75,Agree,75,Agree,75,67,Agree,75,Agree,75,Undecided,50,Agree,75,Agree,75,Strongly Agree,100,Strongly Agree,100,Strongly Agree,100,Agree,75,Strongly Agree,100,Agree,25,Disagree,25,Undecided,50,Disagree,75,Agree,25,68,65
6/15/2021,40,Female,None,both doses,Doctor,73,10,0,Yes,No,No,No,N/A,Yes,Often,75,Sometimes,50,Sometimes,50,Sometimes,50,Sometimes,50,55,Agree,75,Disagree,25,Disagree,75,Agree,75,Disagree,25,Disagree,25,50,Disagree,25,Undecided,50,Agree,25,Undecided,50,Strongly disagree,0,Disagree,25,Undecided,50,Strongly disagree,0,Agree,75,Strongly Agree,100,Agree,25,Strongly disagree,0,Disagree,25,Strongly disagree,100,Agree,25,38,44
6/15/2021,50,Male,None,both doses,Nurse,72,16,4,Yes,Yes,Yes,Yes,No,Yes,Sometimes,50,Sometimes,50,Sometimes,50,Sometimes,50,Sometimes,50,50,Agree,75,Disagree,25,Strongly disagree,100,Strongly disagree,0,Strongly disagree,0,Strongly disagree,0,33,Strongly Agree,100,Strongly Agree,100,Agree,25,Agree,75,Strongly disagree,0,Disagree,25,Agree,75,Strongly Agree,100,Agree,75,Agree,75,Disagree,75,Disagree,25,Disagree,25,Agree,25,Undecided,50,57,50
6/15/2021,30,Female,None,both doses,Nurse,73,5,2,Yes,No,No,No,No,No,Often,75,Often,75,Sometimes,50,Sometimes,50,Often,75,65,Agree,75,Undecided,50,Disagree,75,Agree,75,Strongly agree,100,Agree,75,75,Agree,75,Strongly Agree,100,Undecided,50,Strongly Agree,100,Agree,75,Agree,75,Strongly Agree,100,Strongly Agree,100,Undecided,50,Agree,75,Undecided,50,Disagree,25,Disagree,25,Disagree,75,Strongly Agree,0,65,67
6/15/2021,40,Female,Bronchial Asthma,both doses,Doctor,73,10,0,Yes,Yes,No,Yes,No,Yes,Often,75,Often,75,Often,75,Often,75,Often,75,75,Disagree,25,Disagree,25,Disagree,75,Agree,75,Agree,75,Agree,75,58,Strongly Agree,100,Agree,75,Agree,25,Disagree,25,Disagree,25,Agree,75,Strongly Agree,100,Agree,75,Agree,75,Agree,75,Undecided,50,Disagree,25,Disagree,25,Agree,25,Agree,25,53,59
6/15/2021,30,Female,None,both doses,Nurse,73,5,2,Yes,No,No,No,No,No,Often,75,Often,75,Sometimes,50,Sometimes,50,Often,75,65,Agree,75,Agree,75,Disagree,75,Agree,75,Agree,75,Agree,75,75,Agree,75,Agree,75,Undecided,50,Agree,75,Agree,75,Agree,75,Strongly Agree,100,Agree,75,Undecided,50,Strongly Agree,100,Undecided,50,Undecided,50,Undecided,50,Undecided,50,Strongly Agree,0,63,66
6/15/2021,30,Female,None,both doses,Nurse,73,5,2,Yes,No,No,No,No,No,Sometimes,50,Often,75,Sometimes,50,Sometimes,50,Sometimes,50,55,Agree,75,Undecided,50,Agree,25,Undecided,50,Disagree,25,Disagree,25,42,Undecided,50,Agree,75,Disagree,75,Strongly Agree,100,Undecided,50,Disagree,25,Strongly Agree,100,Undecided,50,Disagree,25,Strongly Agree,100,Undecided,50,Strongly disagree,0,Strongly disagree,0,Undecided,50,Strongly Agree,0,50,49
6/15/2021,50,Female,None,both doses,Doctor,73,16,0,Yes,No,No,Yes,No,Yes,Often,75,Often,75,Rarely,25,Rarely,25,Sometimes,50,50,Undecided,50,Agree,75,Disagree,75,Agree,75,Agree,75,Agree,75,71,Agree,75,Agree,75,Agree,25,Strongly Agree,100,Disagree,25,Undecided,50,Agree,75,Disagree,25,Disagree,25,Disagree,25,Undecided,50,Strongly disagree,0,Strongly disagree,0,Undecided,50,Disagree,75,45,52
6/15/2021,30,Female,None,both doses,Nurse,73,5,1,Yes,Yes,No,Yes,No,Yes,Always,100,Always,100,Always,100,Always,100,Always,100,100,Strongly agree,100,Agree,75,Agree,25,Agree,75,Strongly agree,100,Strongly agree,100,79,Agree,75,Agree,75,Agree,25,Agree,75,Agree,75,Agree,75,Agree,75,Agree,75,Agree,75,Agree,75,Agree,25,Agree,75,Agree,75,Agree,25,Agree,25,62,73
6/16/2021,40,Male,None,both doses,Nurse,72,15,3,Yes,No,No,Yes,Yes,No,Always,100,Always,100,Always,100,Always,100,Always,100,100,Strongly agree,100,Strongly agree,100,Strongly disagree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,100,Strongly Agree,100,Strongly Agree,100,Strongly disagree,100,Strongly disagree,0,Strongly Agree,100,Strongly Agree,100,Strongly disagree,0,Undecided,50,Strongly disagree,0,Strongly Agree,100,Agree,25,Strongly disagree,0,Undecided,50,Strongly Agree,0,Agree,25,50,71
6/16/2021,50,Male,Hypertension;Diabetes Mellitus,both doses,Doctor,60,15,0,Yes,No,No,Yes,No,Yes,Often,75,Always,100,Often,75,Often,75,Always,100,85,Strongly agree,100,Strongly agree,100,Agree,25,Strongly agree,100,Strongly agree,100,Strongly agree,100,88,Agree,75,Strongly Agree,100,Agree,25,Strongly Agree,100,Agree,75,Strongly Agree,100,Strongly Agree,100,Agree,75,Strongly Agree,100,Strongly Agree,100,Agree,25,Strongly disagree,0,Agree,75,Strongly disagree,100,Disagree,75,75,80
6/16/2021,30,Male,None,both doses,Nurse,60,5,2,Yes,No,No,No,No,No,Often,75,Often,75,Often,75,Always,100,Always,100,85,Agree,75,Agree,75,Undecided,50,Agree,75,Agree,75,Agree,75,71,Strongly Agree,100,Strongly Agree,100,Agree,25,Agree,75,Agree,75,Agree,75,Agree,75,Strongly Agree,100,Strongly Agree,100,Strongly Agree,100,Strongly Agree,0,Agree,75,Agree,75,Agree,25,Strongly Agree,0,67,71
6/17/2021,30,Female,None,both doses,Nurse,73,5,4,Yes,No,No,Yes,No,Yes,Often,75,Often,75,Always,100,Often,75,Always,100,85,Strongly agree,100,Strongly agree,100,Strongly agree,0,Strongly agree,100,Strongly agree,100,Strongly agree,100,83,Agree,75,Strongly Agree,100,Disagree,75,Strongly Agree,100,Strongly disagree,0,Strongly Agree,100,Agree,75,Strongly Agree,100,Strongly Agree,100,Strongly Agree,100,Strongly Agree,0,Strongly disagree,0,Agree,75,Strongly disagree,100,Agree,25,68,75
6/17/2021,30,Female,None,both doses,Nurse,48,5,1,Yes,No,No,Yes,No,No,Sometimes,50,Sometimes,50,Always,100,Sometimes,50,Sometimes,50,60,Agree,75,Agree,75,Strongly disagree,100,Undecided,50,Undecided,50,Undecided,50,67,Agree,75,Agree,75,Undecided,50,Agree,75,Agree,75,Undecided,50,Undecided,50,Agree,75,Disagree,25,Strongly Agree,100,Undecided,50,Disagree,25,Disagree,25,Agree,25,Undecided,50,55,59
6/17/2021,30,Female,None,Not taken,Nurse,73,5,1,No,No,No,Yes,No,Yes,Sometimes,50,Sometimes,50,Sometimes,50,Sometimes,50,Sometimes,50,50,Agree,75,Strongly agree,100,Undecided,50,Strongly agree,100,Agree,75,Strongly agree,100,83,Agree,75,Agree,75,Agree,25,Strongly Agree,100,Agree,75,Strongly Agree,100,Undecided,50,Agree,75,Undecided,50,Strongly Agree,100,Agree,25,Strongly disagree,0,Agree,75,Agree,25,Agree,25,58,63
6/17/2021,30,Female,None,both doses,Nurse,48,5,1,Yes,No,No,No,N/A,No,Often,75,Often,75,Sometimes,50,Often,75,Often,75,70,Agree,75,Disagree,25,Undecided,50,Agree,75,Undecided,50,Agree,75,58,Agree,75,Agree,75,Agree,25,Agree,75,Agree,75,Undecided,50,Agree,75,Agree,75,Undecided,50,Agree,75,Undecided,50,Undecided,50,Undecided,50,Undecided,50,Agree,25,58,61
6/17/2021,30,Female,None,both doses,Nurse,72,5,2,Yes,No,No,No,N/A,No,Often,75,Sometimes,50,Sometimes,50,Sometimes,50,Often,75,60,Undecided,50,Undecided,50,Disagree,75,Agree,75,Agree,75,Undecided,50,63,Undecided,50,Agree,75,Agree,25,Agree,75,Disagree,25,Disagree,25,Undecided,50,Strongly Agree,100,Undecided,50,Agree,75,Agree,25,Strongly disagree,0,Strongly disagree,0,Disagree,75,Undecided,50,47,53
6/19/2021,50,Male,Diabetes Mellitus,both doses,Doctor,73,15,0,Yes,Yes,Yes,No,No,Yes,Sometimes,50,Sometimes,50,Rarely,25,Sometimes,50,Sometimes,50,45,Disagree,25,Disagree,25,Strongly agree,0,Agree,75,Strongly disagree,0,Undecided,50,29,Agree,75,Agree,75,Strongly Agree,0,Strongly Agree,100,Strongly disagree,0,Disagree,25,Strongly Agree,100,Disagree,25,Disagree,25,Agree,75,Undecided,50,Strongly disagree,0,Disagree,25,Agree,25,Agree,25,42,39
6/19/2021,30,Female,None,both doses,Nurse,48,5,2,Yes,No,No,No,N/A,No,Sometimes,50,Sometimes,50,Sometimes,50,Rarely,25,Sometimes,50,45,Agree,75,Undecided,50,Disagree,75,Agree,75,Undecided,50,Agree,75,67,Strongly Agree,100,Strongly Agree,100,Strongly Agree,0,Strongly Agree,100,Undecided,50,Disagree,25,Agree,75,Strongly Agree,100,Strongly disagree,0,Strongly Agree,100,Agree,25,Strongly disagree,0,Strongly disagree,0,Strongly disagree,100,Agree,25,53,55
6/21/2021,50,Female,None,both doses,Nurse,73,16,4,Yes,No,No,Yes,No,No,Always,100,Always,100,Often,75,Sometimes,50,Always,100,85,Agree,75,Strongly agree,100,Agree,25,Strongly agree,100,Undecided,50,Agree,75,71,Strongly Agree,100,Disagree,25,Strongly Agree,0,Strongly Agree,100,Strongly disagree,0,Strongly Agree,100,Agree,75,Disagree,25,Disagree,25,Strongly Agree,100,Disagree,75,Disagree,25,Strongly disagree,0,Disagree,75,Strongly disagree,100,55,64
6/24/2021,30,Female,None,both doses,Nurse,60,5,0,Yes,Yes,Yes,Yes,No,No,Often,75,Often,75,Sometimes,50,Often,75,Often,75,70,Strongly agree,100,Undecided,50,Undecided,50,Agree,75,Undecided,50,Undecided,50,63,Agree,75,Agree,75,Agree,25,Undecided,50,Disagree,25,Undecided,50,Agree,75,Strongly Agree,100,Undecided,50,Agree,75,Disagree,75,Strongly disagree,0,Disagree,25,Agree,25,Agree,25,50,57
